Minecraft,Stone Age,石器时代
Minecraft,Getting an Upgrade,获得升级
Minecraft,Acquire Hardware,来硬的
Minecraft,Suit Up,整装上阵
Minecraft,Hot Stuff,热腾腾的
Minecraft,Isn't It Iron Pick,这不是铁镐么
Minecraft,"Not Today, Thank You",不吃这套，谢谢
Minecraft,Ice Bucket Challenge,冰桶挑战
Minecraft,Diamonds!,钻石！
Minecraft,We Need to Go Deeper,勇往直下
Minecraft,Cover Me With Diamonds,钻石护体
Minecraft,Enchanter,附魔师
Minecraft,Zombie Doctor,僵尸科医生
Minecraft,Eye Spy,隔墙有眼
Minecraft,The End?,结束了？
Nether,Return to Sender,见鬼去吧
Nether,Those Were the Days,光辉岁月
Nether,Hidden in the Depths,深藏不露
Nether,Subspace Bubble,曲速泡
Nether,A Terrible Fortress,阴森的要塞
Nether,Who is Cutting Onions?,谁在切洋葱？
Nether,Oh Shiny,金光闪闪
Nether,This Boat Has Legs,画船添足
Nether,Uneasy Alliance,脆弱的同盟
Nether,War Pigs,战猪
Nether,"Country Lode, Take Me Home",天涯共此石
Nether,Cover Me in Debris,残骸裹身
Nether,Spooky Scary Skeleton,惊悚恐怖骷髅头
Nether,Into Fire,与火共舞
Nether,"Not Quite ""Nine"" Lives",锚没有九条命
Nether,Feels like home,温暖如家
Nether,Hot Tourist Destinations,热门景点
Nether,Withering Heights,凋零山庄
Nether,Local Brewery,本地酿造厂
Nether,Bring Home the Beacon,带信标回家
Nether,A Furious Cocktail,狂乱的鸡尾酒
Nether,Beaconator,信标工程师
Nether,How Did We Get Here?,为什么会变成这样呢？
The End,Free the End,解放末地
The End,The Next Generation,下一世代
The End,Remote Getaway,远程折跃
The End,The End...Again...,结束了…再一次…
The End,You Need a Mint,你需要来点薄荷糖
The End,The City at the End of the Game,在游戏尽头的城市
The End,Sky's the Limit,天空即为极限
The End,Great View From Up Here,这上面的风景不错
Adventure,Voluntary Exile,自我放逐
Adventure,Is It a Bird?,那是鸟吗？
Adventure,Monster Hunter,怪物猎人
Adventure,What a Deal!,成交！
Adventure,Sticky Situation,胶着状态
Adventure,Ol' Betsy,扣下悬刀
Adventure,Surge Protector,电涌保护器
Adventure,Caves & Cliffs,上天入地
Adventure,Sweet Dreams,甜蜜的梦
Adventure,Hero of the Village,村庄英雄
Adventure,Is It a Balloon?,那是气球吗？
Adventure,A Throwaway Joke,抖包袱
Adventure,Take Aim,瞄准目标
Adventure,Monsters Hunted,资深怪物猎人
Adventure,Postmortal,超越生死
Adventure,Hired Help,招募援兵
Adventure,Star Trader,星际商人
Adventure,"Two Birds, One Arrow",一箭双雕
Adventure,Who's the Pillager Now?,现在谁才是掠夺者？
Adventure,Arbalistic,劲弩手
Adventure,Adventuring Time,探索的时光
Adventure,Sound of Music,音乐之声
Adventure,Light as a Rabbit,轻功雪上飘
Adventure,Is It a Plane?,那是飞机吗？
Adventure,Very Very Frightening,魔女审判
Adventure,Sniper Duel,狙击手的对决
Adventure,Bullseye,正中靶心
Husbandry,Bee Our Guest,与蜂共舞
Husbandry,The Parrots and the Bats,我从哪儿来？
Husbandry,Whatever Floats Your Goat!,羊帆起航！
Husbandry,Best Friends Forever,永恒的伙伴
Husbandry,Glow and Behold!,眼前一亮！
Husbandry,Fishy Business,腥味十足的生意
Husbandry,Total Beelocation,举巢搬迁
Husbandry,A Seedy Place,开荒垦地
Husbandry,Wax On,涂蜡
Husbandry,Two by Two,成双成对
Husbandry,A Complete Catalogue,百猫全书
Husbandry,Tactical Fishing,战术性钓鱼
Husbandry,A Balanced Diet,均衡饮食
Husbandry,Serious Dedication,终极奉献
Husbandry,Wax Off,脱蜡
Husbandry,The Cutest Predator,最萌捕食者
Husbandry,The Healing Power of Friendship!,友谊的治愈力！
